"district"	"Glofas_st"	"thr_stat"	"thr"	"floods"	"floods_correct"	"floods_incorrect"	"protocol_triggered"	"triggered_in_vain"	"detection_ratio"	"false_alarm_ratio"
"1"	"020105"	"G1053"	"q85"	636.4288	4	2	2	5	3	0.5	0.6
"1"	"020105"	"G1053"	"q90"	726.382948	4	2	2	5	3	0.5	0.6
"1"	"020105"	"G1053"	"q95"	828.12744	4	2	2	5	3	0.5	0.6
"1"	"030701"	"G4977"	"q90"	152.08454	2	1	1	1	0	0.5	0
"1"	"130101"	"G5068"	"q75"	24.677004	2	1	1	8	7	0.5	0.88
"1"	"130101"	"G5068"	"q80"	33.241802	2	1	1	8	7	0.5	0.88
"1"	"050805"	"G1907"	"q75"	801.80133	3	2	1	15	13	0.67	0.87
"1"	"050805"	"G1907"	"q80"	934.6401	3	2	1	12	10	0.67	0.83
"1"	"050805"	"G1907"	"q85"	1098.8606	3	1	2	7	6	0.33	0.86
"1"	"050601"	"G1904"	"q75"	793.94257	3	1	2	6	5	0.33	0.83
"1"	"050601"	"G1905"	"q75"	795.4557	3	1	2	6	5	0.33	0.83
"1"	"050601"	"G1906"	"q75"	800.7073	3	1	2	6	5	0.33	0.83
"1"	"050603"	"G1904"	"q80"	941.0992	4	2	2	14	12	0.5	0.86
"1"	"050603"	"G1904"	"q85"	1105.8431	4	1	3	7	6	0.25	0.86
"1"	"050603"	"G1905"	"q80"	941.1051	4	2	2	14	12	0.5	0.86
"1"	"050603"	"G1905"	"q85"	1106.7765	4	1	3	7	6	0.25	0.86
"1"	"050603"	"G1906"	"q80"	945.4174	4	2	2	13	11	0.5	0.85
"1"	"050603"	"G1906"	"q85"	1105.1339	4	1	3	7	6	0.25	0.86
"1"	"050603"	"G1907"	"q75"	801.80133	4	2	2	15	13	0.5	0.87
"1"	"050603"	"G1907"	"q80"	934.6401	4	2	2	12	10	0.5	0.83
"1"	"050603"	"G1907"	"q85"	1098.8606	4	1	3	7	6	0.25	0.86
"1"	"050607"	"G1904"	"q75"	793.94257	15	10	5	18	9	0.67	0.5
"1"	"050607"	"G1904"	"q80"	941.0992	15	7	8	15	8	0.47	0.53
"1"	"050607"	"G1904"	"q85"	1105.8431	15	6	9	8	2	0.4	0.25
"1"	"050607"	"G1904"	"q90"	1333.499	15	2	13	4	2	0.13	0.5
"1"	"050607"	"G1905"	"q75"	795.4557	15	10	5	18	9	0.67	0.5
"1"	"050607"	"G1905"	"q80"	941.1051	15	7	8	15	8	0.47	0.53
"1"	"050607"	"G1905"	"q85"	1106.7765	15	6	9	8	2	0.4	0.25
"1"	"050607"	"G1905"	"q90"	1335.9796	15	2	13	4	2	0.13	0.5
"1"	"050607"	"G1906"	"q75"	800.7073	15	10	5	18	9	0.67	0.5
"1"	"050607"	"G1906"	"q80"	945.4174	15	7	8	14	7	0.47	0.5
"1"	"050607"	"G1906"	"q85"	1105.1339	15	6	9	8	2	0.4	0.25
"1"	"050607"	"G1906"	"q90"	1338.5846	15	2	13	4	2	0.13	0.5
"1"	"050607"	"G1907"	"q50"	363.9455	15	14	1	19	8	0.93	0.42
"1"	"050607"	"G1907"	"q75"	801.80133	15	8	7	18	10	0.53	0.56
"1"	"050607"	"G1907"	"q80"	934.6401	15	7	8	13	6	0.47	0.46
"1"	"050607"	"G1907"	"q85"	1098.8606	15	6	9	8	2	0.4	0.25
"1"	"050607"	"G1907"	"q90"	1334.5508	15	2	13	4	2	0.13	0.5
"1"	"050604"	"G1904"	"q50"	360.60617	6	5	1	15	11	0.83	0.73
"1"	"050604"	"G1904"	"q75"	793.94257	6	4	2	16	13	0.67	0.81
"1"	"050604"	"G1904"	"q80"	941.0992	6	3	3	15	13	0.5	0.87
"1"	"050604"	"G1904"	"q85"	1105.8431	6	3	3	8	6	0.5	0.75
"1"	"050604"	"G1905"	"q50"	358.31937	6	5	1	15	11	0.83	0.73
"1"	"050604"	"G1905"	"q75"	795.4557	6	4	2	16	13	0.67	0.81
"1"	"050604"	"G1905"	"q80"	941.1051	6	3	3	15	13	0.5	0.87
"1"	"050604"	"G1905"	"q85"	1106.7765	6	3	3	8	6	0.5	0.75
"1"	"050604"	"G1906"	"q50"	363.45074	6	5	1	15	11	0.83	0.73
"1"	"050604"	"G1906"	"q75"	800.7073	6	4	2	16	13	0.67	0.81
"1"	"050604"	"G1906"	"q80"	945.4174	6	3	3	14	12	0.5	0.86
"1"	"050604"	"G1906"	"q85"	1105.1339	6	3	3	8	6	0.5	0.75
"1"	"050604"	"G1907"	"q50"	363.9455	6	5	1	15	11	0.83	0.73
"1"	"050604"	"G1907"	"q75"	801.80133	6	3	3	16	14	0.5	0.88
"1"	"050604"	"G1907"	"q80"	934.6401	6	3	3	13	11	0.5	0.85
"1"	"050604"	"G1907"	"q85"	1098.8606	6	3	3	8	6	0.5	0.75
"1"	"050605"	"G1904"	"q75"	793.94257	13	8	5	20	13	0.62	0.65
"1"	"050605"	"G1904"	"q80"	941.0992	13	6	7	16	11	0.46	0.69
"1"	"050605"	"G1904"	"q85"	1105.8431	13	4	9	9	5	0.31	0.56
"1"	"050605"	"G1904"	"q90"	1333.499	13	2	11	5	3	0.15	0.6
"1"	"050605"	"G1904"	"q95"	1683.12	13	1	12	2	1	0.08	0.5
"1"	"050605"	"G1905"	"q75"	795.4557	13	8	5	20	13	0.62	0.65
"1"	"050605"	"G1905"	"q80"	941.1051	13	6	7	16	11	0.46	0.69
"1"	"050605"	"G1905"	"q85"	1106.7765	13	4	9	9	5	0.31	0.56
"1"	"050605"	"G1905"	"q90"	1335.9796	13	2	11	5	3	0.15	0.6
"1"	"050605"	"G1905"	"q95"	1685.7936	13	1	12	2	1	0.08	0.5
"1"	"050605"	"G1906"	"q75"	800.7073	13	8	5	20	13	0.62	0.65
"1"	"050605"	"G1906"	"q80"	945.4174	13	6	7	15	10	0.46	0.67
"1"	"050605"	"G1906"	"q85"	1105.1339	13	4	9	9	5	0.31	0.56
"1"	"050605"	"G1906"	"q90"	1338.5846	13	2	11	5	3	0.15	0.6
"1"	"050605"	"G1906"	"q95"	1686.97002	13	1	12	2	1	0.08	0.5
"1"	"050605"	"G1907"	"q75"	801.80133	13	7	6	20	14	0.54	0.7
"1"	"050605"	"G1907"	"q80"	934.6401	13	6	7	14	9	0.46	0.64
"1"	"050605"	"G1907"	"q85"	1098.8606	13	4	9	9	5	0.31	0.56
"1"	"050605"	"G1907"	"q90"	1334.5508	13	1	12	5	4	0.08	0.8
"1"	"050605"	"G1907"	"q95"	1664.56291999999	13	1	12	1	0	0.08	0
"1"	"050606"	"G1904"	"q80"	941.0992	14	6	8	16	11	0.43	0.69
"1"	"050606"	"G1904"	"q85"	1105.8431	14	4	10	9	5	0.29	0.56
"1"	"050606"	"G1904"	"q90"	1333.499	14	2	12	5	3	0.14	0.6
"1"	"050606"	"G1904"	"q95"	1683.12	14	2	12	2	0	0.14	0
"1"	"050606"	"G1905"	"q80"	941.1051	14	6	8	16	11	0.43	0.69
"1"	"050606"	"G1905"	"q85"	1106.7765	14	4	10	9	5	0.29	0.56
"1"	"050606"	"G1905"	"q90"	1335.9796	14	2	12	5	3	0.14	0.6
"1"	"050606"	"G1905"	"q95"	1685.7936	14	2	12	2	0	0.14	0
"1"	"050606"	"G1906"	"q80"	945.4174	14	6	8	15	10	0.43	0.67
"1"	"050606"	"G1906"	"q85"	1105.1339	14	4	10	9	5	0.29	0.56
"1"	"050606"	"G1906"	"q90"	1338.5846	14	2	12	5	3	0.14	0.6
"1"	"050606"	"G1906"	"q95"	1686.97002	14	2	12	2	0	0.14	0
"1"	"050606"	"G1907"	"q80"	934.6401	14	6	8	14	9	0.43	0.64
"1"	"050606"	"G1907"	"q85"	1098.8606	14	4	10	9	5	0.29	0.56
"1"	"050606"	"G1907"	"q90"	1334.5508	14	2	12	5	3	0.14	0.6
"1"	"050606"	"G1907"	"q95"	1664.56291999999	14	1	13	1	0	0.07	0
